h3,population,geometry
86216e45fffffff,15.0,"POLYGON ((72.45622792614706 56.179089236495265, 72.46453442809175 56.143672652989515, 72.52457425162252 56.12982789225014, 72.57637155580856 56.15138320355423, 72.56815464766208 56.18680508563564, 72.50805080291137 56.20066637893928, 72.45622792614706 56.179089236495265))"
86216e457ffffff,25.0,"POLYGON ((72.34433828657383 56.171271746167726, 72.3527342592763 56.13586057193094, 72.41280021350471 56.12206924077731, 72.46453442809175 56.143672652989515, 72.45622792614706 56.179089236495265, 72.39609769967502 56.1928970195688, 72.34433828657383 56.171271746167726))"
86216e44fffffff,158.0,"POLYGON ((72.49976889900675 56.23607315006493, 72.50805080291137 56.20066637893928, 72.56815464766208 56.18680508563564, 72.62004063138329 56.20833400849242, 72.61184859096208 56.24374603989776, 72.5516806647933 56.25762390933447, 72.49976889900675 56.23607315006493))"
86216e437ffffff,12.0,"POLYGON ((72.0089001963392 56.14721011546037, 72.01756382375373 56.11181583131023, 72.07770530210823 56.09818491220686, 72.1292481270832 56.119932090690234, 72.12067358972234 56.15533211505766, 72.06046709647839 56.168979241608824, 72.0089001963392 56.14721011546037))"
86216e42fffffff,182.0,"POLYGON ((72.1637542625429 56.212443706798, 72.17230501267079 56.17705338114154, 72.23248656349016 56.163352682466055, 72.28418215804163 56.18502599735789, 72.27572089733896 56.220421915421845, 72.21547451242549 56.23413894719301, 72.1637542625429 56.212443706798))"
86216e427ffffff,114.0,"POLYGON ((72.05182698548681 56.20436386452902, 72.06046709647839 56.168979241608824, 72.12067358972234 56.15533211505766, 72.17230501267079 56.17705338114154, 72.1637542625429 56.212443706798, 72.1034826878103 56.22610708458526, 72.05182698548681 56.20436386452902))"
86216e41fffffff,1.0,"POLYGON ((72.18936490881516 56.106247681373205, 72.19787412149888 56.07083236018266, 72.25790127074926 56.05711080712288, 72.3094836252519 56.07878826890241, 72.3010634889703 56.114209147665385, 72.24097188197393 56.127947028005316, 72.18936490881516 56.106247681373205))"
86216e417ffffff,38.0,"POLYGON ((72.07770530210823 56.09818491220686, 72.08630346402136 56.06277525870232, 72.14635554204364 56.0491070951212, 72.19787412149888 56.07083236018266, 72.18936490881516 56.106247681373205, 72.1292481270832 56.119932090690234, 72.07770530210823 56.09818491220686))"
86216e40fffffff,23.0,"POLYGON ((72.23248656349016 56.163352682466055, 72.24097188197393 56.127947028005316, 72.3010634889703 56.114209147665385, 72.3527342592763 56.13586057193094, 72.34433828657383 56.171271746167726, 72.28418215804163 56.18502599735789, 72.23248656349016 56.163352682466055))"
86216e407ffffff,87.0,"POLYGON ((72.12067358972234 56.15533211505766, 72.1292481270832 56.119932090690234, 72.18936490881516 56.106247681373205, 72.24097188197393 56.127947028005316, 72.23248656349016 56.163352682466055, 72.17230501267079 56.17705338114154, 72.12067358972234 56.15533211505766))"
